Date,Adj Close,Close,High,Low,Open,Volume,Daily_Return,Log_Return,Return_5D,Return_10D,Return_20D,Return_60D,Volatility_20D,Volatility_60D,Volatility_120D,Volatility_252D,MA_20D,MA_50D,MA_100D,MA_200D,Price_vs_MA20_pct,Price_vs_MA50_pct,Price_vs_MA200_pct,Volatility_Ratio_20_60,Volatility_Ratio_20_120,Volatility_Ratio_60_252,True_Range,ATR_14D,ATR_14D_pct,Return_Volatility_20D,Return_Volatility_60D,Drawdown_20D_pct,Drawdown_60D_pct,Drawdown_252D_pct,Range_20D_pct,Volume_Change_pct,Volatility_Term_Spread_20_60,Volatility_Term_Spread_60_120,Volatility_Term_Spread_120_252,Short_Long_Volatility_Ratio,Volatility_20D_Percentile,Volatility_60D_Percentile,Volatility_120D_Percentile,Volatility_20D_ZScore,Volatility_Acceleration,Volatility_Momentum_20D,Volatility_of_Volatility_20D,Return_Dispersion_20D,Return_Dispersion_60D,Upside_Volatility_20D,Downside_Volatility_20D,Downside_Volatility_Ratio,Range_Volatility_20D,Range_Volatility_60D,Volatility_Composite,Volatility_Stress_Score,Volatility_Direction,Volatility_Environment,Volatility_Pressure,Trend_Score,Market_Trend,Volatility_Regime_Score,Detected_Volatility_Regime,Market_Regime,Regime_Confidence_Score,Regime_Confidence,Risk_State,Positioning_Environment,Previous_Market_Regime,Regime_Changed,Regime_Duration_Days,Drawdown_Risk,Final_Regime,Trend_Decision_Score,Trend_Signal,Volatility_Decision_Score,Volatility_Signal,Risk_Decision_Score,Risk_Signal,Decision_Confidence_Score,Decision_Confidence,Market_Bias_Score,Market_Bias,Exposure_Guidance,Portfolio_Posture,Volatility_Response,Trend_Response,Drawdown_Response,Final_Decision_Score,Final_Decision,Decision_Reason,Rule_Market_Condition,Rule_Trend_Condition,Rule_Volatility_Condition,Rule_Risk_Condition,Trend_Score_Band,Volatility_Score_Band,Risk_Score_Band,Rule_Confidence_Band,Rule_Market_Bias,Rule_Exposure_Level,Rule_Portfolio_Posture,Trend_Volatility_Combination,Risk_Trend_Combination,Primary_Rule_Action,Positioning_Rule,Volatility_Rule_Action,Trend_Rule_Action,Drawdown_Rule_Action,Rule_Score,Rule_Strength,System_Action,Rule_Priority,Rule_Consistency,Final_Rule_Label
2015-01-02,8395.450195,8395.450195,8410.599609,8288.700195,8288.700195,101900,,,,,,,,,,,,,,,,,,,,,121.899414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Stable,Low,Neutral,-5.000000,Strong Bearish,0.000000,Low,Low Volatility Bear,40.000000,Low,Defensive,Capital Preservation,,False,1,Unknown,Low Volatility Bear,48.750000,Neutral,65.000000,Positive,30.000000,Negative,44.000000,Low,48.940000,Neutral,Balanced,Balanced,Normal Risk,Wait for Confirmation,Monitor,45.520000,Maintain Balanced Exposure,Trend: Strong Bearish; Volatility: Low; Risk: Defensive; Market bias: Neutral; Confidence: Low; Positioning: Capital Preservation.,Low Volatility,Bearish Trend,Low Volatility,Unclassified,Neutral,Favorable,High Risk,Low,Neutral,Balanced,Balanced,Bearish / Low Volatility,Neutral / Mixed Risk,Maintain Balanced Exposure,Capital Preservation,Normal Volatility Response,Wait for Confirmation,Monitor Drawdown,49.162500,Weak,Maintain Balanced Exposure,Normal,Mixed,BALANCED
2015-01-05,8378.400391,8378.400391,8445.599609,8363.900391,8407.950195,118200,-0.203084,-0.002033,,,,,,,,,,,,,,,,,,,81.699219,,,,,,,,,15.996075,,,,,,,,,,,,,,,,,,,,,Stable,Low,Neutral,-5.000000,Strong Bearish,0.000000,Low,Low Volatility Bear,40.000000,Low,Defensive,Capital Preservation,Low Volatility Bear,False,2,Unknown,Low Volatility Bear,48.750000,Neutral,65.000000,Positive,30.000000,Negative,44.000000,Low,48.940000,Neutral,Balanced,Balanced,Normal Risk,Wait for Confirmation,Monitor,45.520000,Maintain Balanced Exposure,Trend: Strong Bearish; Volatility: Low; Risk: Defensive; Market bias: Neutral; Confidence: Low; Positioning: Capital Preservation.,Low Volatility,Bearish Trend,Low Volatility,Unclassified,Neutral,Favorable,High Risk,Low,Neutral,Balanced,Balanced,Bearish / Low Volatility,Neutral / Mixed Risk,Maintain Balanced Exposure,Capital Preservation,Normal Volatility Response,Wait for Confirmation,Monitor Drawdown,49.162500,Weak,Maintain Balanced Exposure,Normal,Mixed,BALANCED
2015-01-06,8127.350098,8127.350098,8327.849609,8111.350098,8325.299805,172800,-2.996399,-0.030422,,,,,,,,,,,,,,,,,,,267.050293,,,,,,,,,46.192893,,,,,,,,,,,,,,,,,,,,,Stable,Low,Neutral,-5.000000,Strong Bearish,0.000000,Low,Low Volatility Bear,40.000000,Low,Defensive,Capital Preservation,Low Volatility Bear,False,3,Unknown,Low Volatility Bear,48.750000,Neutral,65.000000,Positive,30.000000,Negative,44.000000,Low,48.940000,Neutral,Balanced,Balanced,Normal Risk,Wait for Confirmation,Monitor,45.520000,Maintain Balanced Exposure,Trend: Strong Bearish; Volatility: Low; Risk: Defensive; Market bias: Neutral; Confidence: Low; Positioning: Capital Preservation.,Low Volatility,Bearish Trend,Low Volatility,Unclassified,Neutral,Favorable,High Risk,Low,Neutral,Balanced,Balanced,Bearish / Low Volatility,Neutral / Mixed Risk,Maintain Balanced Exposure,Capital Preservation,Normal Volatility Response,Wait for Confirmation,Monitor Drawdown,49.162500,Weak,Maintain Balanced Exposure,Normal,Mixed,BALANCED
2015-01-07,8102.100098,8102.100098,8151.200195,8065.450195,8118.649902,164100,-0.310679,-0.003112,,,,,,,,,,,,,,,,,,,85.750000,,,,,,,,,-5.034722,,,,,,,,,,,,,,,,,,,,,Stable,Low,Neutral,-5.000000,Strong Bearish,0.000000,Low,Low Volatility Bear,40.000000,Low,Defensive,Capital Preservation,Low Volatility Bear,False,4,Unknown,Low Volatility Bear,48.750000,Neutral,65.000000,Positive,30.000000,Negative,44.000000,Low,48.940000,Neutral,Balanced,Balanced,Normal Risk,Wait for Confirmation,Monitor,45.520000,Maintain Balanced Exposure,Trend: Strong Bearish; Volatility: Low; Risk: Defensive; Market bias: Neutral; Confidence: Low; Positioning: Capital Preservation.,Low Volatility,Bearish Trend,Low Volatility,Unclassified,Neutral,Favorable,High Risk,Low,Neutral,Balanced,Balanced,Bearish / Low Volatility,Neutral / Mixed Risk,Maintain Balanced Exposure,Capital Preservation,Normal Volatility Response,Wait for Confirmation,Monitor Drawdown,49.162500,Weak,Maintain Balanced Exposure,Normal,Mixed,BALANCED
2015-01-08,8234.599609,8234.599609,8243.500000,8167.299805,8191.399902,143800,1.635372,0.016221,,,,,,,,,,,,,,,,,,,141.399902,,,,,,,,,-12.370506,,,,,,,,,,,,,,,,,,,,,Stable,Low,Neutral,-5.000000,Strong Bearish,0.000000,Low,Low Volatility Bear,40.000000,Low,Defensive,Capital Preservation,Low Volatility Bear,False,5,Unknown,Low Volatility Bear,48.750000,Neutral,65.000000,Positive,30.000000,Negative,44.000000,Low,48.940000,Neutral,Balanced,Balanced,Normal Risk,Wait for Confirmation,Monitor,45.520000,Maintain Balanced Exposure,Trend: Strong Bearish; Volatility: Low; Risk: Defensive; Market bias: Neutral; Confidence: Low; Positioning: Capital Preservation.,Low Volatility,Bearish Trend,Low Volatility,Unclassified,Neutral,Favorable,High Risk,Low,Neutral,Balanced,Balanced,Bearish / Low Volatility,Neutral / Mixed Risk,Maintain Balanced Exposure,Capital Preservation,Normal Volatility Response,Wait for Confirmation,Monitor Drawdown,49.162500,Weak,Maintain Balanced Exposure,Normal,Mixed,BALANCED
2015-01-09,8284.500000,8284.500000,8303.299805,8190.799805,8285.450195,148000,0.605984,0.006042,-1.321551,,,,,,,,,,,,,,,,,,112.500000,,,,,,,,,2.920723,,,,,,,,,,,,,,,,,,,,,Stable,Low,Neutral,-5.000000,Strong Bearish,0.000000,Low,Low Volatility Bear,40.000000,Low,Defensive,Capital Preservation,Low Volatility Bear,False,6,Unknown,Low Volatility Bear,48.750000,Neutral,65.000000,Positive,30.000000,Negative,44.000000,Low,48.940000,Neutral,Balanced,Balanced,Normal Risk,Wait for Confirmation,Monitor,45.520000,Maintain Balanced Exposure,Trend: Strong Bearish; Volatility: Low; Risk: Defensive; Market bias: Neutral; Confidence: Low; Positioning: Capital Preservation.,Low Volatility,Bearish Trend,Low Volatility,Unclassified,Neutral,Favorable,High Risk,Low,Neutral,Balanced,Balanced,Bearish / Low Volatility,Neutral / Mixed Risk,Maintain Balanced Exposure,Capital Preservation,Normal Volatility Response,Wait for Confirmation,Monitor Drawdown,49.162500,Weak,Maintain Balanced Exposure,Normal,Mixed,BALANCED
2015-01-12,8323.000000,8323.000000,8332.599609,8245.599609,8291.349609,103200,0.464723,0.004636,-0.661229,,,,,,,,,,,,,,,,,,87.000000,,,,,,,,,-30.270270,,,,,,,,,,,,,,,,,,,,,Stable,Low,Neutral,-5.000000,Strong Bearish,0.000000,Low,Low Volatility Bear,40.000000,Low,Defensive,Capital Preservation,Low Volatility Bear,False,7,Unknown,Low Volatility Bear,48.750000,Neutral,65.000000,Positive,30.000000,Negative,44.000000,Low,48.940000,Neutral,Balanced,Balanced,Normal Risk,Wait for Confirmation,Monitor,45.520000,Maintain Balanced Exposure,Trend: Strong Bearish; Volatility: Low; Risk: Defensive; Market bias: Neutral; Confidence: Low; Positioning: Capital Preservation.,Low Volatility,Bearish Trend,Low Volatility,Unclassified,Neutral,Favorable,High Risk,Low,Neutral,Balanced,Balanced,Bearish / Low Volatility,Neutral / Mixed Risk,Maintain Balanced Exposure,Capital Preservation,Normal Volatility Response,Wait for Confirmation,Monitor Drawdown,49.162500,Weak,Maintain Balanced Exposure,Normal,Mixed,BALANCED
2015-01-13,8299.400391,8299.400391,8356.650391,8267.900391,8346.150391,129600,-0.283547,-0.002839,2.116930,,,,,,,,,,,,,,,,,,88.750000,,,,,,,,,25.581395,,,,,,,,,,,,,,,,,,,,,Stable,Low,Neutral,-5.000000,Strong Bearish,0.000000,Low,Low Volatility Bear,40.000000,Low,Defensive,Capital Preservation,Low Volatility Bear,False,8,Unknown,Low Volatility Bear,48.750000,Neutral,65.000000,Positive,30.000000,Negative,44.000000,Low,48.940000,Neutral,Balanced,Balanced,Normal Risk,Wait for Confirmation,Monitor,45.520000,Maintain Balanced Exposure,Trend: Strong Bearish; Volatility: Low; Risk: Defensive; Market bias: Neutral; Confidence: Low; Positioning: Capital Preservation.,Low Volatility,Bearish Trend,Low Volatility,Unclassified,Neutral,Favorable,High Risk,Low,Neutral,Balanced,Balanced,Bearish / Low Volatility,Neutral / Mixed Risk,Maintain Balanced Exposure,Capital Preservation,Normal Volatility Response,Wait for Confirmation,Monitor Drawdown,49.162500,Weak,Maintain Balanced Exposure,Normal,Mixed,BALANCED
2015-01-14,8277.549805,8277.549805,8326.450195,8236.650391,8307.250000,146100,-0.263279,-0.002636,2.165484,,,,,,,,,,,,,,,,,,89.799805,,,,,,,,,12.731481,,,,,,,,,,,,,,,,,,,,,Stable,Low,Neutral,-5.000000,Strong Bearish,0.000000,Low,Low Volatility Bear,40.000000,Low,Defensive,Capital Preservation,Low Volatility Bear,False,9,Unknown,Low Volatility Bear,48.750000,Neutral,65.000000,Positive,30.000000,Negative,44.000000,Low,48.940000,Neutral,Balanced,Balanced,Normal Risk,Wait for Confirmation,Monitor,45.520000,Maintain Balanced Exposure,Trend: Strong Bearish; Volatility: Low; Risk: Defensive; Market bias: Neutral; Confidence: Low; Positioning: Capital Preservation.,Low Volatility,Bearish Trend,Low Volatility,Unclassified,Neutral,Favorable,High Risk,Low,Neutral,Balanced,Balanced,Bearish / Low Volatility,Neutral / Mixed Risk,Maintain Balanced Exposure,Capital Preservation,Normal Volatility Response,Wait for Confirmation,Monitor Drawdown,49.162500,Weak,Maintain Balanced Exposure,Normal,Mixed,BALANCED
2015-01-15,8494.150391,8494.150391,8527.099609,8380.549805,8424.500000,232100,2.616723,0.025831,3.151954,,,,,,,,,,,,,,,,,,249.549805,,,,,,,,,58.863792,,,,,,,,,,,,,,,,,,,,,Stable,Low,Neutral,-5.000000,Strong Bearish,0.000000,Low,Low Volatility Bear,40.000000,Low,Defensive,Capital Preservation,Low Volatility Bear,False,10,Unknown,Low Volatility Bear,48.750000,Neutral,65.000000,Positive,30.000000,Negative,44.000000,Low,48.940000,Neutral,Balanced,Balanced,Normal Risk,Wait for Confirmation,Monitor,45.520000,Maintain Balanced Exposure,Trend: Strong Bearish; Volatility: Low; Risk: Defensive; Market bias: Neutral; Confidence: Low; Positioning: Capital Preservation.,Low Volatility,Bearish Trend,Low Volatility,Unclassified,Neutral,Favorable,High Risk,Low,Neutral,Balanced,Balanced,Bearish / Low Volatility,Neutral / Mixed Risk,Maintain Balanced Exposure,Capital Preservation,Normal Volatility Response,Wait for Confirmation,Monitor Drawdown,49.162500,Weak,Maintain Balanced Exposure,Normal,Mixed,BALANCED
2015-01-16,8513.799805,8513.799805,8530.750000,8452.250000,8504.049805,176000,0.231329,0.002311,2.767817,1.409687,,,,,,,,,,,,,,,,,78.500000,,,,,,,,,-24.170616,,,,,,,,,,,,,,,,,,,,,Stable,Low,Neutral,-5.000000,Strong Bearish,0.000000,Low,Low Volatility Bear,40.000000,Low,Defensive,Capital Preservation,Low Volatility Bear,False,11,Unknown,Low Volatility Bear,48.750000,Neutral,65.000000,Positive,30.000000,Negative,44.000000,Low,48.940000,Neutral,Balanced,Balanced,Normal Risk,Wait for Confirmation,Monitor,45.520000,Maintain Balanced Exposure,Trend: Strong Bearish; Volatility: Low; Risk: Defensive; Market bias: Neutral; Confidence: Low; Positioning: Capital Preservation.,Low Volatility,Bearish Trend,Low Volatility,Unclassified,Neutral,Favorable,High Risk,Low,Neutral,Balanced,Balanced,Bearish / Low Volatility,Neutral / Mixed Risk,Maintain Balanced Exposure,Capital Preservation,Normal Volatility Response,Wait for Confirmation,Monitor Drawdown,49.162500,Weak,Maintain Balanced Exposure,Normal,Mixed,BALANCED
